,Movie name,Release date,Language,Rating,Runtime,Description,Budget,Revenue,Movie link
68,Dragon Knight,"Mar 21, 2022",English,62.0,1h 39m,"Many years after the war has been lost, and all the dragons slain, a lone knight travels the lands of Agonos seeking to raise an army against the demon lord Abaddon. When a healer's vision reveals that one dragon still lives, and together with an eager young squire, the knight sets off in search of the fabled creature. As the armies of Abaddon descend on the human kingdoms, the dragon is their last hope of fending off the horde, before it lays waste to the lands of men. But does the creature even exist? And if it does, will it fight for them once more?",-,-,https://www.themoviedb.org/movie/919355
69,The Ledge,"Feb 18, 2022",English,62.0,1h 26m,"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight-knit group of friends who will stop at nothing to destroy the evidence and anyone in their way. Desperate for her safety, she begins a treacherous climb up a mountain cliff and her survival instincts are put to the test when she becomes trapped with the killers just 20 feet away.",-,-,https://www.themoviedb.org/movie/924482
70,Indemnity,"Feb 11, 2022",English,63.0,2h 4m,"An ex-fireman with PTSD goes on the run when accused of a crime he doesn't even remember committing, leading him down a rabbit hole of conspiracy to the highest degree.",-,-,https://www.themoviedb.org/movie/854467
71,Borrego,"Jan 14, 2022",English,60,1h 42m,"A young botanist relocates to a small desert town to study an invasive plant species. While out on research, she comes to the aid of a downed plane only to find herself taken captive by an inexperienced drug mule who forces her to lead a trek across the sweltering desert to his drop. A local sheriff is drawn into the hunt as his rebellious daughter sets out to find the missing botanist, all the while being pursued by a local drug receiver.",-,-,https://www.themoviedb.org/movie/728366
72,The Princess,"Jun 16, 2022",English,71.0,1h 34m,"A beautiful, strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned, vindictive suitor intent on taking her father’s throne, the princess must protect her family and save the kingdom.",-,-,https://www.themoviedb.org/movie/759175
73,Last Seen Alive,"May 19, 2022",English,66.0,1h 35m,"After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.",-,-,https://www.themoviedb.org/movie/961484
74,The Exorcism of God,"Mar 11, 2022",English,71.0,1h 38m,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.","$1,500,000.00",-,https://www.themoviedb.org/movie/836225
75,Spider-Man: No Way Home,"Dec 15, 2021",English,81.0,2h 28m,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","$200,000,000.00","$1,892,000,000.00",https://www.themoviedb.org/movie/634649
76,Shut In,"Mar 24, 2022",English,71.0,1h 30m,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,-,"$304,106.00",https://www.themoviedb.org/movie/629015
77,Vendetta,"May 17, 2022",English,65.0,1h 36m,"When his daughter is murdered, William Duncan takes the law into his own hands, setting out on a quest for retribution. After killing the street thug responsible for her death, he finds himself in the middle of a war with the thug's brother, father, and their gang, who are equally hell-bent on getting even. What ensues is a tense back-and-forth game of vengeance. By the end, William comes to find that the quest for revenge never has a winner.",-,-,https://www.themoviedb.org/movie/894169
78,Hot Seat,"Jul 01, 2022",English,68.0,1h 27m,"An ex-hacker is forced to break into high-level banking institutions, another man must try to penetrate the booby-trapped building to get the young man off the hot seat.",-,-,https://www.themoviedb.org/movie/888195
79,Sonic the Hedgehog 2,"Mar 30, 2022",English,77.0,2h 2m,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.","$110,000,000.00","$401,800,000.00",https://www.themoviedb.org/movie/675353
80,Thor: Love and Thunder,"Jul 06, 2022",English,67.0,1h 59m,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now inexplicably wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.","$250,000,000.00","$662,000,000.00",https://www.themoviedb.org/movie/616037
81,Jurassic World Dominion,"Jun 01, 2022",English,71.0,2h 27m,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.","$165,000,000.00","$921,000,000.00",https://www.themoviedb.org/movie/507086
82,Minions: The Rise of Gru,"Jun 29, 2022",English,75.0,1h 27m,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.","$85,000,000.00","$710,000,000.00",https://www.themoviedb.org/movie/438148
83,Top Gun: Maverick,"May 24, 2022",English,83.0,2h 11m,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.","$170,000,000.00","$1,321,104,000.00",https://www.themoviedb.org/movie/361743
84,The Black Phone,"Jun 22, 2022",English,80,1h 43m,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.","$18,800,000.00","$114,000,000.00",https://www.themoviedb.org/movie/756999
85,The Gray Man,"Jul 13, 2022",English,70,2h 8m,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.","$200,000,000.00",-,https://www.themoviedb.org/movie/725201
